,min_rate,max_rate,location
0,2.4,4.9,BTM
1,2.5,4.7,Banashankari
2,2.3,4.4,Banaswadi
3,2.2,4.6,Bannerghatta Road
4,2.5,4.8,Basavanagudi
5,2.9,4.4,Basaveshwara Nagar
6,2.1,4.6,Bellandur
7,2.3,3.9,Bommanahalli
8,2.0,4.9,Brigade Road
9,2.3,4.5,Brookefield
10,3.0,4.0,CV Raman Nagar
11,3.6,3.7,Central Bangalore
12,1.8,4.6,Church Street
13,2.8,4.5,City Market
14,2.5,4.2,Commercial Street
15,2.8,4.7,Cunningham Road
16,2.4,4.3,Domlur
17,2.7,3.8,East Bangalore
18,2.8,4.0,Ejipura
19,2.4,4.7,Electronic City
20,2.7,4.4,Frazer Town
21,3.0,4.3,HBR Layout
22,2.4,4.7,HSR
23,3.0,4.0,Hebbal
24,2.9,4.5,Hennur
25,3.4,4.2,Hosur Road
26,2.5,4.6,"ITPL Main Road, Whitefield"
27,2.1,4.9,Indiranagar
28,2.8,4.3,Infantry Road
29,2.3,4.8,JP Nagar
30,3.700448817952718,3.700448817952718,Jakkur
31,2.8,3.9,Jalahalli
32,2.5,4.6,Jayanagar
33,2.7,4.3,Jeevan Bhima Nagar
34,3.3,3.9,KR Puram
35,2.4,4.0,Kaggadasapura
36,2.4,4.8,Kalyan Nagar
37,2.6,4.5,Kammanahalli
38,3.0,3.8,Kanakapura Road
39,3.7,3.8,Kengeri
40,3.1,4.4,Koramangala
41,2.3,4.7,Koramangala 1st Block
42,3.1,4.2,Koramangala 2nd Block
43,3.3,4.4,Koramangala 3rd Block
44,2.5,4.6,Koramangala 4th Block
45,2.4,4.9,Koramangala 5th Block
46,2.7,4.5,Koramangala 6th Block
47,2.7,4.7,Koramangala 7th Block
48,3.0,4.4,Koramangala 8th Block
49,2.6,4.1,Kumaraswamy Layout
50,3.4,3.9,Langford Town
51,2.9,4.6,Lavelle Road
52,2.2,4.6,MG Road
53,3.0,3.9,Magadi Road
54,2.8,4.3,Majestic
55,2.4,4.9,Malleshwaram
56,2.0,4.8,Marathahalli
57,3.2,3.8,Mysore Road
58,3.4,3.700448817952718,Nagarbhavi
59,2.6,4.5,Nagawara
60,2.5,4.7,New BEL Road
61,3.1,3.700448817952718,North Bangalore
62,2.7,4.7,Old Airport Road
63,2.7,4.1,Old Madras Road
64,3.2,3.2,Peenya
65,2.8,4.0,RT Nagar
66,3.2,4.5,Race Course Road
67,2.3,4.8,Rajajinagar
68,3.7,4.0,Rajarajeshwari Nagar
69,2.7,3.9,Rammurthy Nagar
70,2.2,4.7,Residency Road
71,2.3,4.6,Richmond Road
72,2.5,4.4,Sadashiv Nagar
73,2.9,4.3,Sahakara Nagar
74,2.9,4.1,Sanjay Nagar
75,3.7,4.3,Sankey Road
76,2.1,4.9,Sarjapur Road
77,2.8,4.6,Seshadripuram
78,2.6,4.3,Shanti Nagar
79,2.9,4.1,Shivajinagar
80,3.0,3.9,South Bangalore
81,3.0,4.6,St. Marks Road
82,3.0,4.4,Thippasandra
83,2.5,4.5,Ulsoor
84,3.1,3.700448817952718,Uttarahalli
85,2.5,4.5,"Varthur Main Road, Whitefield"
86,2.8,4.8,Vasanth Nagar
87,2.8,4.3,Vijay Nagar
88,3.3,3.700448817952718,West Bangalore
89,2.4,4.9,Whitefield
90,3.0,4.0,Wilson Garden
91,3.5,3.9,Yelahanka
92,2.8,4.2,Yeshwantpur
