,cuisines
0,Mexican
1,Middle Eastern
2,FastFood
3,Tibetan
4,Rajasthani
5,Greek
6,Salad
7,Vietnamese
8,Cafe
9,Chinese
10,HealthyFood
11,Hyderabadi
12,Modern Indian
13,Belgian
14,North Eastern
15,Afghan
16,Cantonese
17,Malwani
18,Bohri
19,Sushi
20,Singaporean
21,Momos
22,Malaysian
23,Afghani
24,Bar Food
25,Biryani
26,Pizza
27,European
28,Oriya
29,Maharashtrian
30,SouthAmerican
31,Lebanese
32,French
33,Tex-Mex
34,Sandwich
35,Beverages
36,Wraps
37,Finger Food
38,Gujarati
39,NorthEastern
40,StreetFood
41,Roast Chicken
42,Desserts
43,Bihari
44,Hot dogs
45,American
46,Mangalorean
47,Russian
48,Drinks Only
49,Kashmiri
50,German
51,Naga
52,Jewish
53,Steak
54,Kerala
55,Parsi
56,Seafood
57,Pan Asian
58,BarFood
59,SouthIndian
60,Mughlai
61,Spanish
62,African
63,Arabian
64,North Indian
65,Charcoal Chicken
66,Raw Meats
67,Continental
68,Asian
69,Tea
70,Portuguese
71,FingerFood
72,Konkan
73,Italian
74,Chettinad
75,Kebab
76,Bubble Tea
77,Paan
78,Healthy Food
79,CharcoalChicken
80,RoastChicken
81,Coffee
82,Goan
83,Mithai
84,Bakery
85,Rolls
86,Thai
87,MiddleEastern
88,Fast Food
89,NorthIndian
90,Andhra
91,Ice Cream
92,Sri Lankan
93,Burger
94,BBQ
95,Sindhi
96,ModernIndian
97,Awadhi
98,South Indian
99,British
100,IceCream
101,Indian
102,Bengali
103,Australian
104,Assamese
105,Mediterranean
106,Nepalese
107,Street Food
108,Lucknowi
109,Grill
110,Iranian
111,Mongolian
112,South American
113,Indonesian
114,Juices
115,Korean
116,Vegan
117,Japanese
118,Tamil
119,Turkish
120,Burmese
